,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,100,pub.1118359996,,,,Exploring the Optical Transient Sky with the Palomar Transient Factory,arXiv,,,6/29/09,2009,,,,"All OA; Green, Accepted & Submitted",Preprint,"Rau, Arne; Kulkarni, Shrinivas R.; Law, Nicholas M.; Bloom, Joshua S.; Ciardi, David; Djorgovski, George S.; Fox, Derek B.; Gal-Yam, Avishay; Grillmair, Carl C.; Kasliwal, Mansi M.; Nugent, Peter E.; Ofek, Eran O.; Quimby, Robert M.; Reach, William T.; Shara, Michael; Bildsten, Lars; Cenko, S. Bradley; Drake, Andrew J.; Filippenko, Alexei V.; Helfand, David J.; Helou, George; Howell, D. Andrew; Poznanski, Dovi; Sullivan, Mark",,"Rau, Arne (California Institute of Technology); Kulkarni, Shrinivas R. (California Institute of Technology); Law, Nicholas M. (California Institute of Technology); Bloom, Joshua S. (University of California, Berkeley); Ciardi, David (California Institute of Technology); Djorgovski, George S. (California Institute of Technology); Fox, Derek B. (); Gal-Yam, Avishay (); Grillmair, Carl C. (California Institute of Technology); Kasliwal, Mansi M. (California Institute of Technology); Nugent, Peter E. (); Ofek, Eran O. (California Institute of Technology); Quimby, Robert M. (California Institute of Technology); Reach, William T. (California Institute of Technology); Shara, Michael (); Bildsten, Lars (); Cenko, S. Bradley (University of California, Berkeley); Drake, Andrew J. (California Institute of Technology); Filippenko, Alexei V. (University of California, Berkeley); Helfand, David J. (); Helou, George (California Institute of Technology); Howell, D. Andrew (); Poznanski, Dovi (University of California, Berkeley); Sullivan, Mark ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118359996,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
149,100,pub.1118343347,,,,Helium White Dwarfs in Cataclysmic Variables,arXiv,,,6/19/09,2009,,,,"All OA; Green, Accepted & Submitted",Preprint,"Shen, Ken J.; Idan, Irit; Bildsten, Lars",,"Shen, Ken J. (); Idan, Irit (); Bildsten, Lars ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118343347,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
150,100,pub.1005259743,10.1088/0004-637x/695/1/l111,,,GLOBULAR CLUSTERS AS TESTBEDS FOR TYPE Ia SUPERNOVAE,The Astrophysical Journal,,,4/10/09,2009,695,1,l111,All OA; Gold,Article,"Pfahl, Eric; Scannapieco, Evan; Bildsten, Lars",,"Pfahl, Eric (University of California, Santa Barbara); Scannapieco, Evan (Arizona State University); Bildsten, Lars (University of California, Santa Barbara)",14,0,,3,http://iopscience.iop.org/article/10.1088/0004-637X/695/1/L111/pdf,https://app.dimensions.ai/details/publication/pub.1005259743,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
151,100,pub.1118331282,,,,Globular Clusters as Testbeds for Type Ia Supernovae,arXiv,,,3/5/09,2009,,,,"All OA; Green, Accepted & Submitted",Preprint,"Pfahl, Eric; Scannapieco, Evan; Bildsten, Lars",,"Pfahl, Eric (); Scannapieco, Evan (); Bildsten, Lars ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118331282,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
152,100,pub.1032404347,10.1088/0004-637x/692/1/324,,,THE EFFECT OF COMPOSITION ON NOVA IGNITIONS,The Astrophysical Journal,,,2/10/09,2009,692,1,324,All OA; Gold,Article,"Shen, Ken J.; Bildsten, Lars",,"Shen, Ken J. (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara)",18,2,,3.86,http://iopscience.iop.org/article/10.1088/0004-637X/692/1/324/pdf,https://app.dimensions.ai/details/publication/pub.1032404347,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
153,100,pub.1044024888,10.1111/j.1365-2966.2008.14076.x,,,X‐ray spectral identification of three candidate quiescent low‐mass X‐ray binaries in the globular cluster NGC 6304,Monthly Notices of the Royal Astronomical Society,,,1/11/09,2009,392,2,665-681,All OA; Gold,Article,"Guillot, Sebastien; Rutledge, Robert E.; Bildsten, Lars; Brown, Edward F.; Pavlov, George G.; Zavlin, Vyacheslav E.",,"Guillot, Sebastien (McGill University); Rutledge, Robert E. (McGill University); Bildsten, Lars (University of California, Santa Barbara); Brown, Edward F. (National Superconducting Cyclotron Laboratory); Pavlov, George G. (Pennsylvania State University); Zavlin, Vyacheslav E. (Universities Space Research Association)",19,3,,4.07,https://academic.oup.com/mnras/article-pdf/392/2/665/2988987/mnras0392-0665.pdf,https://app.dimensions.ai/details/publication/pub.1044024888,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
154,100,pub.1020572443,10.1086/592880,,,Pulsations of the Low-Mass ZZ Ceti Star HS 1824+6000,Publications of the Astronomical Society of the Pacific,,,2008-10,2008,120,872,1103-1111,All OA; Gold,Article,"Steinfadt, Justin D. R.; Bildsten, Lars; Ofek, Eran O.; Kulkarni, Shri R.",,"Steinfadt, Justin D. R. (); Bildsten, Lars (); Ofek, Eran O. (); Kulkarni, Shri R. ()",4,0,,0.78,http://iopscience.iop.org/article/10.1086/592880/pdf,https://app.dimensions.ai/details/publication/pub.1020572443,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
155,100,pub.1009577721,10.1111/j.1365-2966.2008.13594.x,,,Detecting gravitational wave emission from the known accreting neutron stars,Monthly Notices of the Royal Astronomical Society,,,9/11/08,2008,389,2,839-868,All OA; Gold,Article,"Watts, Anna L.; Krishnan, Badri; Bildsten, Lars; Schutz, Bernard F.",,"Watts, Anna L. (); Krishnan, Badri (Max Planck Institute for Gravitational Physics); Bildsten, Lars (University of California, Santa Barbara); Schutz, Bernard F. (Max Planck Institute for Gravitational Physics)",115,18,,26.26,https://academic.oup.com/mnras/article-pdf/389/2/839/2962221/mnras0389-0839.pdf,https://app.dimensions.ai/details/publication/pub.1009577721,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
156,100,pub.1118247524,,,,Pulsations of the Low Mass ZZ Ceti Star HS 1824+6000,arXiv,,,8/28/08,2008,,,,"All OA; Green, Accepted & Submitted",Preprint,"Steinfadt, Justin D. R.; Bildsten, Lars; Ofek, Eran O.; Kulkarni, Shri R.",,"Steinfadt, Justin D. R. (); Bildsten, Lars (); Ofek, Eran O. (); Kulkarni, Shri R. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118247524,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
157,200,pub.1021657425,10.1086/591521,,,SN 2007ax: An Extremely Faint Type Ia Supernova,The Astrophysical Journal,,,8/10/08,2008,683,1,l29-l32,All OA; Gold,Article,"Kasliwal, M. M.; Ofek, E. O.; Gal-Yam, A.; Rau, A.; Brown, P. J.; Cenko, S. B.; Cameron, P. B.; Quimby, R.; Kulkarni, S. R.; Bildsten, L.; Milne, P.; Bryngelson, G.",,"Kasliwal, M. M. (); Ofek, E. O. (); Gal-Yam, A. (); Rau, A. (); Brown, P. J. (); Cenko, S. B. (); Cameron, P. B. (); Quimby, R. (); Kulkarni, S. R. (); Bildsten, L. (); Milne, P. (); Bryngelson, G. ()",24,0,,3.99,http://iopscience.iop.org/article/10.1086/591521/pdf,https://app.dimensions.ai/details/publication/pub.1021657425,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
158,100,pub.1118215672,,,,"X-ray Spectral Identification of Three Candidate Quiescent Low-Mass
  X-ray Binaries in the Globular Cluster NGC 6304",arXiv,,,8/8/08,2008,,,,"All OA; Green, Accepted & Submitted",Preprint,"Guillot, Sebastien; Rutledge, Robert E.; Bildsten, Lars; Brown, Edward F.; Pavlov, George G.; Zavlin, Vyacheslav E.",,"Guillot, Sebastien (); Rutledge, Robert E. (); Bildsten, Lars (); Brown, Edward F. (); Pavlov, George G. (); Zavlin, Vyacheslav E. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118215672,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
159,100,pub.1118246299,,,,SN2007ax : An Extremely Faint Type Ia Supernova,arXiv,,,7/3/08,2008,,,,"All OA; Green, Accepted & Submitted",Preprint,"Kasliwal, M. M.; Ofek, E. O.; Gal-Yam, A.; Rau, A.; Brown, P. J.; Cenko, S. B.; Cameron, P. B.; Quimby, R.; Kulkarni, S. R.; Bildsten, L.; Milne, P.",,"Kasliwal, M. M. (California Institute of Technology); Ofek, E. O. (California Institute of Technology); Gal-Yam, A. (California Institute of Technology); Rau, A. (California Institute of Technology); Brown, P. J. (); Cenko, S. B. (California Institute of Technology); Cameron, P. B. (California Institute of Technology); Quimby, R. (California Institute of Technology); Kulkarni, S. R. (California Institute of Technology); Bildsten, L. (); Milne, P. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118246299,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
160,200,pub.1058799991,10.1086/586689,,,"Erratum: “Thermally Stable Nuclear Burning on Accreting White Dwarfs” ( ApJ, 660, 1444 [2007] )",The Astrophysical Journal,,,5/10/08,2008,678,2,1530-1530,All OA; Gold,Article,"Shen, Ken J.; Bildsten, Lars",,"Shen, Ken J. (); Bildsten, Lars ()",5,0,,0.83,http://iopscience.iop.org/article/10.1086/586689/pdf,https://app.dimensions.ai/details/publication/pub.1058799991,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
161,400,pub.1029531709,10.1103/physreve.77.056405,18643174,,Classical nucleation theory of the one-component plasma,Physical Review E,,,2008-05,2008,77,5,56405,"All OA; Green, Accepted & Submitted",Article,"Cooper, Randall L.; Bildsten, Lars",,"Cooper, Randall L. (Harvard–Smithsonian Center for Astrophysics; University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara)",5,0,0.12,1.07,http://arxiv.org/pdf/0804.3404,https://app.dimensions.ai/details/publication/pub.1029531709,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
162,200,pub.1058800572,10.1086/588022,,,Discovery of the Partially Eclipsing White Dwarf Binary SDSS J143547.87+373338.5,The Astrophysical Journal,,,4/20/08,2008,677,2,l113-l116,All OA; Gold,Article,"Steinfadt, Justin D. R.; Bildsten, Lars; Howell, Steve B.",,"Steinfadt, Justin D. R. (); Bildsten, Lars (); Howell, Steve B. ()",16,0,,2.66,http://iopscience.iop.org/article/10.1086/588022/pdf,https://app.dimensions.ai/details/publication/pub.1058800572,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
163,100,pub.1118216625,,,,"Discovery of the Partially Eclipsing White Dwarf Binary SDSS
  J143547.87+373338.5",arXiv,,,3/5/08,2008,,,,"All OA; Green, Accepted & Submitted",Preprint,"Steinfadt, Justin D. R.; Bildsten, Lars; Howell, Steve B.",,"Steinfadt, Justin D. R. (); Bildsten, Lars (); Howell, Steve B. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118216625,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
164,200,pub.1058794347,10.1086/524189,,,Neutronization during Type Ia Supernova Simmering,The Astrophysical Journal,,,2008-02,2008,673,2,1009-1013,All OA; Gold,Article,"Piro, Anthony L.; Bildsten, Lars",,"Piro, Anthony L. (); Bildsten, Lars ()",54,7,,8.97,http://iopscience.iop.org/article/10.1086/524189/pdf,https://app.dimensions.ai/details/publication/pub.1058794347,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
165,200,pub.1042364525,10.1086/522111,,,Carbon Detonation and Shock‐Triggered Helium Burning in Neutron Star Superbursts,The Astrophysical Journal,,,2007-12,2007,670,2,1291-1300,All OA; Gold,Article,"Weinberg, Nevin N.; Bildsten, Lars",,"Weinberg, Nevin N. (); Bildsten, Lars ()",17,2,,2.82,http://iopscience.iop.org/article/10.1086/522111/pdf,https://app.dimensions.ai/details/publication/pub.1042364525,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
166,200,pub.1058791876,10.1086/518687,,,Turbulent Mixing in the Surface Layers of Accreting Neutron Stars,The Astrophysical Journal,,,7/10/07,2007,663,2,1252-1268,All OA; Gold,Article,"Piro, Anthony L.; Bildsten, Lars",,"Piro, Anthony L. (); Bildsten, Lars ()",37,7,,6.14,http://iopscience.iop.org/article/10.1086/518687/pdf,https://app.dimensions.ai/details/publication/pub.1058791876,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
167,200,pub.1056938729,10.1051/0004-6361:20077494,,,"IGR J17254-3257, a new bursting neutron star",Astronomy and Astrophysics,,,2007-07,2007,469,1,l27-l30,All OA; Gold,Article,"Chenevez, J.; Falanga, M.; Kuulkers, E.; Walter, R.; Bildsten, L.; Brandt, S.; Lund, N.; Oosterbroek, T.; Heras, J. Zurita",,"Chenevez, J. (); Falanga, M. (); Kuulkers, E. (); Walter, R. (); Bildsten, L. (); Brandt, S. (); Lund, N. (); Oosterbroek, T. (); Heras, J. Zurita ()",14,1,,2.97,https://www.aanda.org/articles/aa/pdf/2007/25/aa7494-07.pdf,https://app.dimensions.ai/details/publication/pub.1056938729,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
168,200,pub.1039294922,10.1086/519489,,,Faint Thermonuclear Supernovae from AM Canum Venaticorum Binaries,The Astrophysical Journal,,,6/20/07,2007,662,2,l95-l98,All OA; Gold,Article,"Bildsten, Lars; Shen, Ken J.; Weinberg, Nevin N.; Nelemans, Gijs",,"Bildsten, Lars (); Shen, Ken J. (); Weinberg, Nevin N. (); Nelemans, Gijs ()",229,36,,38.03,http://iopscience.iop.org/article/10.1086/519489/pdf,https://app.dimensions.ai/details/publication/pub.1039294922,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
169,200,pub.1047377861,10.1086/513457,,,Thermally Stable Nuclear Burning on Accreting White Dwarfs,The Astrophysical Journal,,,5/10/07,2007,660,2,1444-1450,All OA; Gold,Article,"Shen, Ken J.; Bildsten, Lars",,"Shen, Ken J. (); Bildsten, Lars ()",83,14,,13.78,http://iopscience.iop.org/article/10.1086/513457/pdf,https://app.dimensions.ai/details/publication/pub.1047377861,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
170,100,pub.1118240542,,,,"IGR J17254-3257, a new bursting neutron star",arXiv,,,5/9/07,2007,,,,"All OA; Green, Accepted & Submitted",Preprint,"Chenevez, J.; Falanga, M.; Kuulkers, E.; Walter, R.; Bildsten, L.; Brandt, S.; Lund, N.; Oosterbroek, T.; Heras, J. Zurita",,"Chenevez, J. (); Falanga, M. (); Kuulkers, E. (); Walter, R. (); Bildsten, L. (); Brandt, S. (); Lund, N. (); Oosterbroek, T. (); Heras, J. Zurita ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118240542,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
171,200,pub.1058788329,10.1086/512229,,,"Variability of 19 Millisecond Pulsars in 47 Tucanae with
                    Chandra
                    HRC‐S",The Astrophysical Journal,,,2007-05,2007,660,1,587-594,All OA; Gold,Article,"Cameron, P. B.; Rutledge, R. E.; Camilo, F.; Bildsten, L.; Ransom, S. M.; Kulkarni, S. R.",,"Cameron, P. B. (); Rutledge, R. E. (); Camilo, F. (); Bildsten, L. (); Ransom, S. M. (); Kulkarni, S. R. ()",14,0,,2.32,http://iopscience.iop.org/article/10.1086/512229/pdf,https://app.dimensions.ai/details/publication/pub.1058788329,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
