,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,400,pub.1060828607,10.1103/physrevlett.93.018101,15324022,,"Skin Layer at the Actin-Gel Surface: Quenched Protein Membranes form Flat, Crumpled, and Tubular Morphologies",Physical Review Letters,,"Actin Cytoskeleton; Anisotropy; Biophysical Phenomena; Biophysics; Gels; Microscopy, Confocal; Skin Physiological Phenomena; Stress, Mechanical",2004-06,2004,93,1,18101,Closed,Article,"Hirst, L. S.; Safinya, C. R.",,"Hirst, L. S. (); Safinya, C. R. ()",9,0,0.15,,,https://app.dimensions.ai/details/publication/pub.1060828607,02 Physical Sciences,02 Physical Sciences,,,,
141,100,pub.1041311446,10.1002/adfm.200305078,,,Mechanical and Structural Properties of BaCrO4 Nanorod Films under Confinement and Shear,Advanced Functional Materials,,,2004-03,2004,14,3,238-242,Closed,Article,"Gourdon, D.; Yasa, M.; Alig, A. R. Godfrey; Li, Y.; Safinya, C. R.; Israelachvili, J. N.",,"Gourdon, D. (); Yasa, M. (University of California, Santa Barbara); Alig, A. R. Godfrey (University of California, Santa Barbara); Li, Y. (University of California, Santa Barbara); Safinya, C. R. (University of California, Santa Barbara); Israelachvili, J. N. (University of California, Santa Barbara)",15,1,,2.74,,https://app.dimensions.ai/details/publication/pub.1041311446,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
142,400,pub.1043571483,10.1016/s0006-3495(04)74190-9,14747350,PMC1303908,Surface Functionalized Cationic Lipid-DNA Complexes for Gene Delivery: PEGylated Lamellar Complexes Exhibit Distinct DNA-DNA Interaction Regimes,Biophysical Journal,,"Animals; Cations; Cells, Cultured; Coated Materials, Biocompatible; DNA; Drug Delivery Systems; Fibroblasts; Gene Transfer Techniques; Lipids; Liposomes; Macromolecular Substances; Mice; Polyethylene Glycols; Surface Properties; Transfection",2004-02,2004,86,2,1160-1168,All OA; Gold,Article,"Martin-Herranz, Ana; Ahmad, Ayesha; Evans, Heather M.; Ewert, Kai; Schulze, Uwe; Safinya, Cyrus R.","Safinya, Cyrus R.","Martin-Herranz, Ana (University of California, Santa Barbara); Ahmad, Ayesha (University of California, Santa Barbara); Evans, Heather M. (University of California, Santa Barbara); Ewert, Kai (University of California, Santa Barbara); Schulze, Uwe (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",52,2,1.08,5.18,https://doi.org/10.1016/s0006-3495(04)74190-9,https://app.dimensions.ai/details/publication/pub.1043571483,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
143,400,pub.1069160399,10.2174/0929867043456160,14754413,,Cationic lipid-DNA complexes for gene therapy: understanding the relationship between complex structure and gene delivery pathways at the molecular level.,Current Medicinal Chemistry,,Animals; Cations; DNA; Genetic Therapy; Humans; Lipids; Transfection,1/1/04,2004,11,2,133-49,"All OA; Green, Accepted & Submitted",Article,"Ewert, Kai; Slack, Nelle L; Ahmad, Ayesha; Evans, Heather M; Lin, Alison J; Samuel, Charles E; Safinya, Cyrus R",,"Ewert, Kai (University of California, Santa Barbara); Slack, Nelle L (); Ahmad, Ayesha (); Evans, Heather M (); Lin, Alison J (); Samuel, Charles E (); Safinya, Cyrus R ()",134,6,3.02,7.84,http://www.mrl.ucsb.edu/~safinyaweb/PDFs/publications_PDF/2004_curr_med_chem_ke.pdf,https://app.dimensions.ai/details/publication/pub.1069160399,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
144,200,pub.1069160403,10.2174/0929867043456205,,,Preface [Hot topic: Non-Viral Vectors for Gene Therapy and Drug Delivery (Guest Editor: Cyrus R. Safinya)],Current Medicinal Chemistry,,,1/1/04,2004,11,2,i-i,Closed,Article,"Safinya, Cyrus",,"Safinya, Cyrus ()",1,0,,0.09,,https://app.dimensions.ai/details/publication/pub.1069160403,11 Medical and Health Sciences; 0601 Biochemistry and Cell Biology; 0304 Medicinal and Biomolecular Chemistry; 03 Chemical Sciences; 1115 Pharmacology and Pharmaceutical Sciences; 06 Biological Sciences,11 Medical and Health Sciences,0601 Biochemistry and Cell Biology,0304 Medicinal and Biomolecular Chemistry,03 Chemical Sciences,1115 Pharmacology and Pharmaceutical Sciences
145,100,pub.1067958958,10.1557/proc-820-o9.4,,,Integrating Biomaterials into Microsystems: Formation and Characterization of Nanostructured Titania,MRS Advances,,,2004,2004,820,,o9.4,Closed,Article,"Abu Samah, Zuruzi; Butler, Blaine C.; Parker, Emily R.; Ahmed, Ayesha; Evans, Heather M.; Safinya, Cyrus R.; MacDonald, Noel C.",,"Abu Samah, Zuruzi (); Butler, Blaine C. (); Parker, Emily R. (); Ahmed, Ayesha (); Evans, Heather M. (); Safinya, Cyrus R. (); MacDonald, Noel C. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1067958958,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
146,100,pub.1018185047,10.1007/1-4020-2340-5_2,,,Supramolecular Assembly of Biological Molecules,"NATO Science Series II: Mathematics, Physics and Chemistry","Forces, Growth and Form in Soft Condensed Matter: At the Interface between Physics and Biology",,2004,2004,160,,29-50,Closed,Chapter,"Safinya, Cyrus R",,"Safinya, Cyrus R (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1018185047,0306 Physical Chemistry (incl. Structural); 0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,0306 Physical Chemistry (incl. Structural),0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,02 Physical Sciences,03 Chemical Sciences
147,100,pub.1020573058,10.1002/polb.10669,,,Macromolecules at surfaces: Research challenges and opportunities from tribology to biology,Journal of Polymer Science Part B Polymer Physics,,,11/15/03,2003,41,22,2755-2793,Closed,Article,"Granick, Steve; Kumar, Sanat K.; Amis, Eric J.; Antonietti, Markus; Balazs, Anna C.; Chakraborty, Arup K.; Grest, Gary S.; Hawker, Craig; Janmey, Paul; Kramer, Edward J.; Nuzzo, Ralph; Russell, Thomas P.; Safinya, Cyrus R.",,"Granick, Steve (University of Illinois at Urbana Champaign); Kumar, Sanat K. (Rensselaer Polytechnic Institute); Amis, Eric J. (); Antonietti, Markus (); Balazs, Anna C. (University of Pittsburgh); Chakraborty, Arup K. (University of California, Berkeley); Grest, Gary S. (Sandia National Laboratories); Hawker, Craig (IBM Research - Almaden); Janmey, Paul (University of Pennsylvania); Kramer, Edward J. (University of California, Santa Barbara); Nuzzo, Ralph (University of Illinois at Urbana Champaign); Russell, Thomas P. (University of Massachusetts Amherst); Safinya, Cyrus R. (University of California, Santa Barbara)",121,5,,14.8,,https://app.dimensions.ai/details/publication/pub.1020573058,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
148,400,pub.1060827330,10.1103/physrevlett.91.148102,14611558,,Structure of Actin Cross-Linked with α-Actinin: A Network of Bundles,Physical Review Letters,,"Actin Cytoskeleton; Actinin; Actins; Models, Molecular; X-Ray Diffraction",2003-09,2003,91,14,148102,Closed,Article,"Pelletier, O.; Pokidysheva, E.; Hirst, L. S.; Bouxsein, N.; Li, Y.; Safinya, C. R.",,"Pelletier, O. (University of California, Santa Barbara); Pokidysheva, E. (University of California, Santa Barbara); Hirst, L. S. (University of California, Santa Barbara); Bouxsein, N. (University of California, Santa Barbara); Li, Y. (University of California, Santa Barbara); Safinya, C. R. (University of California, Santa Barbara)",79,5,1.25,20.61,,https://app.dimensions.ai/details/publication/pub.1060827330,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
149,400,pub.1060827112,10.1103/physrevlett.91.075501,12935030,,Structural polymorphism of DNA-dendrimer complexes,Physical Review Letters,,"Cations; DNA; Histones; Models, Biological; Models, Molecular; Polypropylenes; Static Electricity",2003-08,2003,91,7,75501,Closed,Article,"Evans, Heather M.; Ahmad, A.; Ewert, K.; Pfohl, T.; Martin-Herranz, A.; Bruinsma, R. F.; Safinya, C. R.",,"Evans, Heather M. (University of California, Santa Barbara); Ahmad, A. (University of California, Santa Barbara); Ewert, K. (University of California, Santa Barbara); Pfohl, T. (University of California, Santa Barbara); Martin-Herranz, A. (University of California, Santa Barbara); Bruinsma, R. F. (); Safinya, C. R. (University of California, Santa Barbara)",66,5,1.26,,,https://app.dimensions.ai/details/publication/pub.1060827112,02 Physical Sciences,02 Physical Sciences,,,,
150,400,pub.1060826946,10.1103/physrevlett.91.018103,12906579,,Lamellar Phase of Stacked Two-Dimensional Rafts of Actin Filaments,Physical Review Letters,,"Actins; Models, Chemical; Protein Conformation",2003-07,2003,91,1,18103,"All OA; Green, Accepted & Submitted",Article,"Wong, Gerard C. L.; Lin, Alison; Tang, Jay X.; Li, Youli; Janmey, Paul A.; Safinya, Cyrus R.",,"Wong, Gerard C. L. (University of California, Santa Barbara); Lin, Alison (University of California, Santa Barbara); Tang, Jay X. (Brown University); Li, Youli (University of California, Santa Barbara); Janmey, Paul A. (University of Pennsylvania); Safinya, Cyrus R. (University of California, Santa Barbara)",83,3,1.38,,https://repository.upenn.edu/cgi/viewcontent.cgi?article=1012&context=ime_papers,https://app.dimensions.ai/details/publication/pub.1060826946,02 Physical Sciences,02 Physical Sciences,,,,
151,400,pub.1043576390,10.1016/s0006-3495(03)70055-1,12719260,PMC1302891,Three-Dimensional Imaging of Lipid Gene-Carriers: Membrane Charge Density Controls Universal Transfection Behavior in Lamellar Cationic Liposome-DNA Complexes,Biophysical Journal,,"Animals; DNA; Drug Delivery Systems; Fibroblasts; Imaging, Three-Dimensional; Lipid Bilayers; Liposomes; Macromolecular Substances; Mice; Microscopy, Confocal; Molecular Conformation; Nanotechnology; Static Electricity; Transfection",2003-05,2003,84,5,3307-3316,All OA; Gold,Article,"Lin, Alison J.; Slack, Nelle L.; Ahmad, Ayesha; George, Cyril X.; Samuel, Charles E.; Safinya, Cyrus R.","Safinya, Cyrus R.","Lin, Alison J. (University of California, Santa Barbara); Slack, Nelle L. (University of California, Santa Barbara); Ahmad, Ayesha (University of California, Santa Barbara); George, Cyril X. (University of California, Santa Barbara); Samuel, Charles E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",164,10,3.62,9.83,https://doi.org/10.1016/s0006-3495(03)70055-1,https://app.dimensions.ai/details/publication/pub.1043576390,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
152,200,pub.1057721052,10.1063/1.1567456,,,Metal layer Bragg–Fresnel lenses for diffraction focusing of hard x-rays,Applied Physics Letters,,,4/14/03,2003,82,15,2538-2540,Closed,Article,"Li, Youli; Yasa, Mario; Pelletier, Olivier; Safinya, Cyrus R.; Caine, Ernie; Hu, Evelyn E.; Fernandez, Patricia",,"Li, Youli (); Yasa, Mario (); Pelletier, Olivier (); Safinya, Cyrus R. (); Caine, Ernie (); Hu, Evelyn E. (); Fernandez, Patricia ()",9,0,,,,https://app.dimensions.ai/details/publication/pub.1057721052,09 Engineering; 02 Physical Sciences,09 Engineering,02 Physical Sciences,,,
153,400,pub.1055947361,10.1021/jm020233w,12408712,,Efficient synthesis and cell-transfection properties of a new multivalent cationic lipid for nonviral gene delivery.,Journal of Medicinal Chemistry,,"Animals; Benzamides; Cations; Coleoptera; DNA; Fatty Acids, Monounsaturated; Genes, Reporter; L Cells (Cell Line); Liposomes; Luciferases; Mice; Phosphatidylcholines; Quaternary Ammonium Compounds; Scattering, Radiation; Spermine; Transfection; X-Rays",2002-11,2002,45,23,5023-9,Closed,Article,"Ewert, Kai; Ahmad, Ayesha; Evans, Heather M; Schmidt, Hans-Werner; Safinya, Cyrus R",,"Ewert, Kai (University of California, Santa Barbara); Ahmad, Ayesha (); Evans, Heather M (); Schmidt, Hans-Werner (); Safinya, Cyrus R ()",83,6,1.72,9.23,,https://app.dimensions.ai/details/publication/pub.1055947361,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
154,200,pub.1057710848,10.1063/1.1480461,,,The x-ray surface forces apparatus for simultaneous x-ray diffraction and direct normal and lateral force measurements,Review of Scientific Instruments,,,2002-06,2002,73,6,2486-2488,Closed,Article,"Golan, Yuval; Seitz, Markus; Luo, Ci; Martin-Herranz, Ana; Yasa, Mario; Li, Youli; Safinya, Cyrus R.; Israelachvili, Jacob",,"Golan, Yuval (); Seitz, Markus (); Luo, Ci (); Martin-Herranz, Ana (); Yasa, Mario (); Li, Youli (); Safinya, Cyrus R. (); Israelachvili, Jacob ()",17,0,,,,https://app.dimensions.ai/details/publication/pub.1057710848,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
155,100,pub.1019692972,10.1016/s0927-7757(01)00978-5,,,Biological polyelectrolyte complexes in solution and confined on patterned surfaces,Colloids and Surfaces A Physicochemical and Engineering Aspects,,,2002-02,2002,198,,613-623,Closed,Article,"Pfohl, T; Li, Y; Kim, J.H; Wen, Z; Wong, G.C.L; Koltover, I; Kim, M.W; Safinya, C.R","Safinya, C.R","Pfohl, T (University of California, Santa Barbara); Li, Y (University of California, Santa Barbara); Kim, J.H (University of California, Santa Barbara; Korea Advanced Institute of Science and Technology); Wen, Z (Chongqing University); Wong, G.C.L (University of California, Santa Barbara); Koltover, I (University of California, Santa Barbara); Kim, M.W (University of California, Santa Barbara; Korea Advanced Institute of Science and Technology); Safinya, C.R (University of California, Santa Barbara)",5,0,,0.64,,https://app.dimensions.ai/details/publication/pub.1019692972,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
156,200,pub.1087799728,10.4324/9780203300961_chapter_10,,,Structure and structure-activity correlations of cationic lipid/DNA complexes,,Pharmaceutical Perspectives of Nucleic Acid-Based Therapeutics,,2002,2002,,,190-209,Closed,Chapter,"Safinya, Cyrus R; Lin, Alison J; Slack, Nelle L; Koltover, Ilya",,"Safinya, Cyrus R (); Lin, Alison J (); Slack, Nelle L (); Koltover, Ilya ()",5,0,,,,https://app.dimensions.ai/details/publication/pub.1087799728,,,,,,
157,200,pub.1057702801,10.1063/1.1399061,,,The bridging conformations of double-end anchored polymer-surfactants destabilize a hydrogel of lipid membranes,The Journal of Chemical Physics,,,2001-10,2001,115,13,6252-6257,Closed,Article,"Slack, N. L.; Davidson, P.; Chibbaro, M. A.; Jeppesen, C.; Eiselt, P.; Warriner, H. E.; Schmidt, H.-W.; Pincus, P.; Safinya, C. R.",,"Slack, N. L. (); Davidson, P. (); Chibbaro, M. A. (); Jeppesen, C. (); Eiselt, P. (); Warriner, H. E. (); Schmidt, H.-W. (); Pincus, P. (); Safinya, C. R. ()",7,1,,,,https://app.dimensions.ai/details/publication/pub.1057702801,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
158,100,pub.1017069473,10.1023/a:1011467431506,,,Selective Surface Modification in Silicon Microfluidic Channels for Micromanipulation of Biological Macromolecules,Biomedical Microdevices,,,2001-09,2001,3,3,239-244,Closed,Article,"Li, Youli; Pfohl, Thomas; Kim, Joon Heon; Yasa, Mario; Wen, Zhiyu; Kim, Mahn Won; Safinya, Cyrus R.",,"Li, Youli (University of California, Santa Barbara); Pfohl, Thomas (University of California, Santa Barbara); Kim, Joon Heon (University of California, Santa Barbara; Korea Advanced Institute of Science and Technology); Yasa, Mario (University of California, Santa Barbara); Wen, Zhiyu (Chongqing University); Kim, Mahn Won (University of California, Santa Barbara; Korea Advanced Institute of Science and Technology); Safinya, Cyrus R. (University of California, Santa Barbara)",15,0,,3.19,,https://app.dimensions.ai/details/publication/pub.1017069473,09 Engineering; 0903 Biomedical Engineering,09 Engineering,0903 Biomedical Engineering,,,
